 INFO  Accepting connections at http://localhost:3000
 HTTP  27/5/2026 22:39:14 ::1 GET /metodologia/__next.metodologia.__PAGE__.txt?_rsc=aamw8
 HTTP  27/5/2026 22:39:14 ::1 Returned 404 in 2 ms
 HTTP  27/5/2026 22:39:14 ::1 GET /directorio/__next.directorio.__PAGE__.txt?_rsc=k3u4p
 HTTP  27/5/2026 22:39:14 ::1 Returned 404 in 2 ms
 HTTP  27/5/2026 22:39:16 ::1 GET /directorio.txt?_rsc=114rj
 HTTP  27/5/2026 22:39:16 ::1 Returned 200 in 3 ms
 HTTP  27/5/2026 22:39:16 ::1 GET /marca/91a25f22-1c2c-458e-89d6-620b9e03c112/__next.marca.$d$id.txt?_rsc=1y0i0
 HTTP  27/5/2026 22:39:16 ::1 GET /marca/91a25f22-1c2c-458e-89d6-620b9e03c112/__next.marca.$d$id.__PAGE__.txt?_rsc=1a7br
 HTTP  27/5/2026 22:39:16 ::1 GET /marca/f0586cae-19db-47a3-9fb3-b2fd3a81e3f7/__next.marca.$d$id.txt?_rsc=1y0i0
 HTTP  27/5/2026 22:39:16 ::1 GET /marca/f0586cae-19db-47a3-9fb3-b2fd3a81e3f7/__next.marca.$d$id.__PAGE__.txt?_rsc=1a7br
 HTTP  27/5/2026 22:39:16 ::1 Returned 404 in 5 ms
 HTTP  27/5/2026 22:39:16 ::1 Returned 404 in 3 ms
 HTTP  27/5/2026 22:39:16 ::1 Returned 404 in 3 ms
 HTTP  27/5/2026 22:39:16 ::1 Returned 404 in 3 ms
 HTTP  27/5/2026 22:39:16 ::1 GET /marca/e6c897ed-ee38-46de-8d25-31025320dbbe/__next.marca.$d$id.txt?_rsc=1y0i0
 HTTP  27/5/2026 22:39:16 ::1 GET /marca/e6c897ed-ee38-46de-8d25-31025320dbbe/__next.marca.$d$id.__PAGE__.txt?_rsc=1a7br
 HTTP  27/5/2026 22:39:16 ::1 Returned 404 in 2 ms
 HTTP  27/5/2026 22:39:16 ::1 Returned 404 in 1 ms
 HTTP  27/5/2026 22:39:17 ::1 GET /marca/91a25f22-1c2c-458e-89d6-620b9e03c112.txt?_rsc=ih8i6
 HTTP  27/5/2026 22:39:17 ::1 Returned 200 in 4 ms
 HTTP  27/5/2026 22:39:23 ::1 GET /directorio.txt?_rsc=8bws8
 HTTP  27/5/2026 22:39:23 ::1 Returned 200 in 3 ms
 HTTP  27/5/2026 22:40:53 ::1 GET /contacto/__next.contacto.__PAGE__.txt?_rsc=98gtb
 HTTP  27/5/2026 22:40:53 ::1 Returned 404 in 3 ms
 HTTP  27/5/2026 22:40:54 ::1 GET /marca/f0586cae-19db-47a3-9fb3-b2fd3a81e3f7/__next.marca.$d$id.txt?_rsc=1y0i0
 HTTP  27/5/2026 22:40:54 ::1 GET /marca/f0586cae-19db-47a3-9fb3-b2fd3a81e3f7/__next.marca.$d$id.__PAGE__.txt?_rsc=1a7br
 HTTP  27/5/2026 22:40:54 ::1 Returned 404 in 4 ms
 HTTP  27/5/2026 22:40:54 ::1 Returned 404 in 2 ms
 HTTP  27/5/2026 22:40:55 ::1 GET /marca/f0586cae-19db-47a3-9fb3-b2fd3a81e3f7.txt?_rsc=qf5u3
 HTTP  27/5/2026 22:40:55 ::1 Returned 304 in 2 ms
 HTTP  27/5/2026 22:40:55 ::1 GET /directorio/__next.directorio.__PAGE__.txt?_rsc=k3u4p
 HTTP  27/5/2026 22:40:55 ::1 Returned 404 in 3 ms
 HTTP  27/5/2026 22:40:55 ::1 GET /metodologia/__next.metodologia.__PAGE__.txt?_rsc=aamw8
 HTTP  27/5/2026 22:40:55 ::1 Returned 404 in 1 ms
 HTTP  27/5/2026 22:41:15 ::1 GET /directorio/__next.directorio.__PAGE__.txt?_rsc=dctwd
 HTTP  27/5/2026 22:41:15 ::1 Returned 404 in 4 ms
 HTTP  27/5/2026 22:41:15 ::1 GET /metodologia/__next.metodologia.__PAGE__.txt?_rsc=3jmnv
 HTTP  27/5/2026 22:41:15 ::1 Returned 404 in 2 ms
 HTTP  27/5/2026 22:41:18 ::1 GET /contacto/__next.contacto.__PAGE__.txt?motivo=sugerencia&_rsc=uv72x
 HTTP  27/5/2026 22:41:18 ::1 Returned 404 in 3 ms
 HTTP  27/5/2026 22:42:31 ::1 GET /metodologia/__next.metodologia.__PAGE__.txt?_rsc=aamw8
 HTTP  27/5/2026 22:42:31 ::1 Returned 404 in 3 ms
 HTTP  27/5/2026 22:42:31 ::1 GET /directorio/__next.directorio.__PAGE__.txt?_rsc=k3u4p
 HTTP  27/5/2026 22:42:31 ::1 Returned 404 in 1 ms
 HTTP  27/5/2026 22:42:32 ::1 GET /directorio.txt?_rsc=114rj
 HTTP  27/5/2026 22:42:32 ::1 Returned 304 in 2 ms
 HTTP  27/5/2026 22:42:32 ::1 GET /contacto/__next.contacto.__PAGE__.txt?_rsc=98gtb
 HTTP  27/5/2026 22:42:32 ::1 Returned 404 in 2 ms
 HTTP  27/5/2026 22:42:32 ::1 GET /img/moodboard-1.jpg
 HTTP  27/5/2026 22:42:32 ::1 GET /img/moodboard-3.jpg
 HTTP  27/5/2026 22:42:32 ::1 Returned 304 in 3 ms
 HTTP  27/5/2026 22:42:32 ::1 Returned 304 in 6 ms
 HTTP  27/5/2026 22:42:33 ::1 GET /marca/91a25f22-1c2c-458e-89d6-620b9e03c112/__next.marca.$d$id.txt?_rsc=1y0i0
 HTTP  27/5/2026 22:42:33 ::1 GET /marca/91a25f22-1c2c-458e-89d6-620b9e03c112/__next.marca.$d$id.__PAGE__.txt?_rsc=1a7br
 HTTP  27/5/2026 22:42:33 ::1 GET /marca/f0586cae-19db-47a3-9fb3-b2fd3a81e3f7/__next.marca.$d$id.txt?_rsc=1y0i0
 HTTP  27/5/2026 22:42:33 ::1 GET /marca/f0586cae-19db-47a3-9fb3-b2fd3a81e3f7/__next.marca.$d$id.__PAGE__.txt?_rsc=1a7br
 HTTP  27/5/2026 22:42:33 ::1 Returned 404 in 4 ms
 HTTP  27/5/2026 22:42:33 ::1 Returned 404 in 1 ms
 HTTP  27/5/2026 22:42:33 ::1 Returned 404 in 3 ms
 HTTP  27/5/2026 22:42:33 ::1 Returned 404 in 3 ms
 HTTP  27/5/2026 22:42:33 ::1 GET /marca/e6c897ed-ee38-46de-8d25-31025320dbbe/__next.marca.$d$id.txt?_rsc=1y0i0
 HTTP  27/5/2026 22:42:33 ::1 GET /marca/e6c897ed-ee38-46de-8d25-31025320dbbe/__next.marca.$d$id.__PAGE__.txt?_rsc=1a7br
 HTTP  27/5/2026 22:42:33 ::1 Returned 404 in 1 ms
 HTTP  27/5/2026 22:42:33 ::1 Returned 404 in 3 ms
 HTTP  27/5/2026 22:52:43 ::1 GET /
 HTTP  27/5/2026 22:52:43 ::1 Returned 200 in 3 ms
 HTTP  27/5/2026 22:52:43 ::1 GET /admin
 HTTP  27/5/2026 22:52:43 ::1 Returned 200 in 2 ms
 HTTP  27/5/2026 22:52:43 ::1 GET /directorio
 HTTP  27/5/2026 22:52:43 ::1 Returned 200 in 1 ms
 HTTP  27/5/2026 22:52:43 ::1 GET /marca/e6c897ed-ee38-46de-8d25-31025320dbbe
 HTTP  27/5/2026 22:52:43 ::1 Returned 200 in 1 ms
 HTTP  27/5/2026 22:54:30 ::1 GET /
 HTTP  27/5/2026 22:54:30 ::1 Returned 200 in 3 ms
 HTTP  27/5/2026 22:54:30 ::1 GET /admin
 HTTP  27/5/2026 22:54:30 ::1 Returned 200 in 3 ms
 HTTP  27/5/2026 22:54:30 ::1 GET /directorio
 HTTP  27/5/2026 22:54:30 ::1 Returned 200 in 1 ms
 HTTP  27/5/2026 22:54:30 ::1 GET /marca/e6c897ed-ee38-46de-8d25-31025320dbbe
 HTTP  27/5/2026 22:54:30 ::1 Returned 200 in 1 ms
 HTTP  27/5/2026 23:16:30 ::1 GET /directorio
 HTTP  27/5/2026 23:16:30 ::1 Returned 200 in 4 ms
 HTTP  27/5/2026 23:16:30 ::1 GET /_next/static/chunks/d8b6140c7ef4c429.css
 HTTP  27/5/2026 23:16:30 ::1 Returned 200 in 3 ms
 HTTP  27/5/2026 23:16:30 ::1 GET /_next/static/media/01e4147cff8141ee-s.p.7787e134.woff2
 HTTP  27/5/2026 23:16:30 ::1 GET /_next/static/media/1b99372b3eaef0c8-s.p.758e15a8.woff2
 HTTP  27/5/2026 23:16:30 ::1 GET /_next/static/media/70bc3e132a0a741e-s.p.15008bfb.woff2
 HTTP  27/5/2026 23:16:30 ::1 GET /_next/static/media/8bd76523131fa0fc-s.p.eb17b6b9.woff2
 HTTP  27/5/2026 23:16:30 ::1 GET /_next/static/media/fba5a26ea33df6a3-s.p.1bbdebe6.woff2
 HTTP  27/5/2026 23:16:30 ::1 Returned 304 in 4 ms
 HTTP  27/5/2026 23:16:30 ::1 Returned 304 in 4 ms
 HTTP  27/5/2026 23:16:30 ::1 Returned 304 in 4 ms
 HTTP  27/5/2026 23:16:30 ::1 Returned 304 in 4 ms
 HTTP  27/5/2026 23:16:30 ::1 Returned 304 in 5 ms
 HTTP  27/5/2026 23:16:31 ::1 GET /_next/static/chunks/fa69ea07a8e32695.js
 HTTP  27/5/2026 23:16:31 ::1 GET /_next/static/chunks/82abf2d65f5428ae.js
 HTTP  27/5/2026 23:16:31 ::1 GET /_next/static/chunks/4776e8fb6e84bb8a.js
 HTTP  27/5/2026 23:16:31 ::1 GET /_next/static/chunks/aee6c7720838f8a2.js
 HTTP  27/5/2026 23:16:31 ::1 GET /_next/static/chunks/turbopack-107583b176e9dac6.js
 HTTP  27/5/2026 23:16:31 ::1 GET /_next/static/chunks/abbe07006bafe078.js
 HTTP  27/5/2026 23:16:31 ::1 Returned 304 in 6 ms
 HTTP  27/5/2026 23:16:31 ::1 Returned 304 in 3 ms
 HTTP  27/5/2026 23:16:31 ::1 Returned 304 in 3 ms
 HTTP  27/5/2026 23:16:31 ::1 Returned 304 in 4 ms
 HTTP  27/5/2026 23:16:31 ::1 Returned 304 in 5 ms
 HTTP  27/5/2026 23:16:31 ::1 GET /_next/static/chunks/ff1a16fafef87110.js
 HTTP  27/5/2026 23:16:31 ::1 Returned 304 in 6 ms
 HTTP  27/5/2026 23:16:31 ::1 GET /_next/static/chunks/6fce2d22265dd351.js
 HTTP  27/5/2026 23:16:31 ::1 GET /_next/static/chunks/d2be314c3ece3fbe.js
 HTTP  27/5/2026 23:16:31 ::1 Returned 304 in 3 ms
 HTTP  27/5/2026 23:16:31 ::1 Returned 200 in 3 ms
 HTTP  27/5/2026 23:16:31 ::1 GET /_next/static/chunks/0a3a06578da005bb.js
 HTTP  27/5/2026 23:16:31 ::1 Returned 304 in 3 ms
 HTTP  27/5/2026 23:16:31 ::1 Returned 304 in 5 ms
